"°íÀ¯¹øÈ£","¾ð¾î","»óÈ£¸í","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈÞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"1790","zh-CN","?ß£Íë?","135-120 âÏ?ã¼Ë°Ñõ?ãæÞÑÔ× 649-9?","135-120 âÏ?ã¼Ë°Ñõ??ß£ÓÞÖØ45Ê¶20 ","+82-2-3423-6245","","","Íë?24á³??Û¯£¬?ß£?Ò·?ÍïíÂìí10:00~16:00 ñ²×¿/ÍëýÌìí 10:00~14:00","ñ²ìé~ñ²ìí","Íë?Ò´ñéÙéýÌ£¬?ß£?Ò·?Øßñ²ìí¡¢õð?ÐàñéõÕ?Ê£ìíýÌãÓ¡¢???","3?? ää?ïÍó×2 3?õóÏ¢ÜÆú¼10ÝÂ?  ","Íë?ää?ïÍó×î÷?Ë°Ñõ?ß£Íë??Ò·?äÌóãûÇ","Ùéî¡äô÷çÔ³?òðìÑá©â¢?"
"1793","zh-TW","Óöß£Íëê®","135-120 âÏì³Ë°ÑõÏ¡ãæàâÔ× 649-9","135-120 âÏì³ã¼Ë°ÑõÏ¡Óöß£ÓÞÖØ45Ê¶20 ","+82-2-3423-6245","","","Íëê®24á³ãÁËÒÛ¯ Óöß£ÑºÒ·Î½£ºøÁìí 10:00~16:00 / ñÎ×¿¡¢ÏÐïÒÊ£ìí 10:00~14:00","ñÎìé~ñÎìí","Íëê®£ºîïÒ´ÙíýÌ Óöß£ÑºÒ·Î½£ºñÎìé¡¢ãæÒ´Ö§ýÌ¡¢ñéõÕÖ§ýÌ¡¢á¡÷«ï½","3ûÜàÊääÏÎïÍó×3ûÜõóÏ¢å³500Íëô©(Ëïì¡÷³ã«Íªïïó³) ","Ë°ÑõÏ¡ÕöÞÈäÌóãûÇÓöß£Íëê®ÑºÒ·Î½ääÏÎïÍÍ¯îç÷®Û¾","Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"2050","zh-TW","ÓìáøÏà","100-120 âÏì³ã¼ñéÏ¡ïöÔ× 5-1","100-120 âÏì³ã¼ñéÏ¡á¦ðóÓÞÖØ99 ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/","09:00?21:00£¨?øùÐàõÌý­ìýíÞãÁÊà?20:00£©","ñÎì£?ñÎìí","ØßñÎìé","1ûÜàÊã¼ôæó×2ûÜõóÏ¢  ","Í¯Ïàù¦ï×îî÷ÖÓìáøÏàÚ¸âúÎ½ÙíùÚÓûîú","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉ?á¶"
"2046","zh-CN","Óì??","100-120 âÏ?ã¼ñé??Ô×Ú¸??ÖØ 5-1","100-120 âÏ?ã¼ñé?á¦ðóÓÞÖØ99 ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr/eng/index.asp","09:00 ~ 20:00 ","àøÑ¢ì£ àøÑ¢ß² àøÑ¢ÞÌ àøÑ¢çé àøÑ¢×¿ àøÑ¢ô¸","Øßñ²ñ²ìé","1?? ã¼ïÙÝ¤ 2?õóÏ¢  ","Óì?? (´ö¼ö±Ã)???ÙéùÚÓû?","?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"875","zh-CN","???Ò·?","140-021 âÏ?ã¼?ß£??ß£Ô×1Ê¶ 8 ","04353 âÏ?ã¼?ß£?Õó÷ÁêÂÖØ29 ","+82-2-709-3139","+82-2-709-3100","https://www.warmemo.or.kr/front/main.do;jsessionid=BDE1B452FEB0FE808BE5865428DBDCDF","ÛÜô¸?Û¯??£ºñ²ì£ò¸ñ²ìí 09:30 ~ 18:00£¬??îñ1á³?ì¤ý¨Ð×ò­ìý?<br /> å¨??Û¯??£ºØßêÅõÌý¨ìéñ²îÜñ²ë» 9£º30~20£º00.","","Øßñ²ìé£¨åýñ²ìéî¤Ê£Ñ¢?£¬?Ê£Ñ¢?áÖý¨ð¯ì£ô¸??£©","6?? ß²ÊÇò¢ó×11£¬12?õóÏ¢ÜÆú¼3ÝÂ? 4?? ß²ÊÇò¢ó×1?õóÏ¢ÜÆú¼5ÝÂ?  1?? Ñõ?ó×1?õóÏ¢ÜÆú¼10ÝÂ?  ","???Ò·??ÞÈÙþûùðÈ???625??×Þ÷ÁêÂ","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"871","ja","??ÑÀÒ·Î½ ","140-021 «½«¦«ëã¼×£ß£?éÌß£Ô×1Ê¶8 ","04353 «½«¦«ëã¼«è«ó«µ«ó(×£ß£)?«¤«Æ«¦«©«ó«í29 (éÌß£Ô×1Ê¶)","+82-2-709-3139","+82-2-709-3100","https://www.warmemo.or.kr/LNG/main.do?lan=jp","9:30-18:00 å¨ÊàËÒÎ½£º?êÅõÌðûñÎ÷ÏèøìíªÏ9£º30?20£º00","","êÅèøìí(êÅèøìíªòùßªàÖ§ýÌªÎíÞùêªÏÖ§ýÌõÌðûìíªÎìÎìíª¬ýÌÎ½)","ò¢ù»?4?àÊ¡¸«µ«à«¬«¯«Á¡¹?1ÛãõóÏ¢ª«ªéÓù?5ÝÂ ò¢ù»?6?àÊ¡¸«µ«à«¬«¯«Á¡¹?11Ûã¡¢12ÛãõóÏ¢ª«ªéÓù?3ÝÂ  ò¢ù»?1?àÊ¡¸«Ê«ß«ç«ó¡¹?1ÛãõóÏ¢ª«ªéÓù?10ÝÂ   ","«½«¦«ëÑÀÒ·Î½?ÞÈ×£ß£?ðÈàØ??ÚÏÚªÎ½¡¤ÑÀÒ·Î½??ÑÀÒ·Î½","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎ?éÄñÒó³íÞ?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"878","zh-TW","îúî³ÑºÒ·Î½","140-021 âÏì³ã¼×£ß£Ï¡éÌß£Ô×1Ê¶ 8 ","04353 âÏì³ã¼éÌß£Ï¡Õó÷ÁêÂÖØ29 ","+82-2-709-3139","","https://www.warmemo.or.kr/front/main.do","ñÎì£ò¸ñÎìí09:30 ~ 18:00 øÍÎ½îñ£±á³ãÁ?ò­ËËÊ¦ìýÎ½ å¨ÊàËÒÛ¯£ºØßêÅõÌý­ìéîÜàøÑ¢ë»æÅíþËÒÛ¯ò¸20:00","","àøÑ¢ìé (åýÍýÎòíþîÜÊ£Ñ¢øÐùßàøÑ¢ìéãÁ£¬öÎî¤íþÊ£ý­ýÌãÓìéô¸)","4¡¢6ûÜàÊß²ÊÇò¢ó×1¡¢11¡¢12ûÜõóÏ¢õóÜÆú¼5ÝÂñ¤  1ûÜàÊÑõç½ó×1ûÜõóÜÆú¼10ÝÂñ¤ ","îúî³ÑºÒ·Î½ÚÏÚªÎ½ÕöÞÈÑºÒ·Î½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"802","zh-CN","Ùþûùó×âÏ?284 ","100-162 âÏ?ã¼ñé??ìéÖØ1  ","04509 âÏ?÷å?ã¼ñé?Üï?Ô×ì£Ê¶122-25??ìéÖØ1Ûãò¢£¨?ìéÖØ1?âÏ?ó×£¨ñ«?£©£© ","+82-2-3407-3500","","http://www.seoul284.org ","10:00 ~ 19:00£¨18:00ý¨ïÎò­ìý?£© ØßêÅõÌý¨ìéñ²ñ²ß²¡°Ùþûùìí¡±æÅ?ò¸?ß¾9ïÃ","ñ²ì£~ñ²ìí","êªÓ©¡¢ñ²ìé¡¢ñ²ìé?ÛöïÒ?Ê£ìí?ð¯ì£ô¸??","14?? âÏ?ó×   ","âÏ?ó×ûý?ó×ÎÃ??î÷?Ùþûùó×âÏ?284ÙþûùÚÏÚª?","Ùéî¡äô÷çÔ³?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
"808","zh-TW","Ùþûùó×âÏì³284(ÏÁâÏì³ó×)","100-162 âÏì³ã¼ñéÏ¡ÜïÕÑÔ×2Ê¶122-28 ","04509 âÏì³ã¼ñéÏ¡÷ÖìéÖØ1 ","+82-2-3407-3500","","https://en.seoul284.org/","10:00~19:00 ¡Ø õÌý­ìýíÞãÁÊà18:00 ¡Ø ØßêÅõÌý­ìéËÁñÎß²æÅíþò¸21:00","ñÎì£~ñÎìí","ñÎìé","1¡¢4ûÜàÊâÏì³ó×2ûÜõóÏ¢","ÏÁâÏì³ó×ë¶ò£î÷ÕÂâÏì³ó×ÙþûùÎÃûùÚ¦Ùþûùó×âÏì³284ÕöÞÈÚ¸âúÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"800","ja","Ùþûù?«½«¦«ë284(?«½«¦«ë??)","100-162 «½«¦«ëã¼ñé?ÜïÕÑÔ×2Ê¶122-25 ","04509 «½«¦«ëã¼«Á«å«ó(ñé)?«È«ó«¤«ë«í1  (ÜïÕÑÔ×2Ê¶)«½«¦«ë?(Üâè©)","+82-2-3407-3500","","http://www.seoul284.org ","10:00-19:00£¨ìýíÞªÏ18:30ªÞªÇ£©","","êÅèøìí","ò¢ù»?1?àÊ/4?àÊ¡¸«½«¦«ë¡¹?2ÛãõóÏ¢","«¢?«È?«½«¦«ë??Ùþûù?«½«¦«ë284ë¶îæò¢¡¤Ùþûùî¯éýâú","«¢«¯«»«·«Ó«ê«Æ«£«¨«ì«Ù?«¿?«Ð«ê«¢«Õ«ê?«È«¤«ì?ªÎÜôí»ë¦ªÊÛ°ªÎª¿ªáªÎäÐ?á¶(ó³ëõí­«ì«ó«¿«ëªÊªÉ)"
"300","zh-CN","óã??","110-360 âÏ?ã¼?ÖØ???Ô× 2-1","03072 âÏ?ã¼?ÖØ?óã??ÖØ185 ","+82-2-762-4868","+82-2-762-9514","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","2êÅ~5êÅ9êÅ~10êÅ : 09:00~ 18:00  6êÅ~8êÅ : 09:00 ~ 18:30 11êÅ~1êÅ : 09:00 ~ 17:30 ?øù??ï¸ò¸???áÖîñ1á³?","","Øßñ²ìé","4?? û³ûùó×4?õóÏ¢","?ÎÃ??å¨??Û¯???îüäÌ?ó×óã??","?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"37211","zh-CN","óã??ÓÞ?ãø"," âÏ??ÖØ?ûú?Ô×2-1 ","03072 âÏ??ÖØ?óã??ÖØ185£¨è¿?Ô×£¬óã??£© ","+82-2-762-9514","","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","","","","û³ûùó×4?õóÏ¢700Ú·","óã??ü£?ÓÞüÕ??îüû³ûùó×?ÞÈ?ò£?ãø","?òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)"
"303","zh-CN","óãÓì?","110-360 âÏ?ã¼?ÖØ???Ô×2-71 ","03072 âÏ?ã¼?ÖØ?×ÊÍÛÖØ99 ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr","óãÓì?¡¢óã???Û¯??ìéÚõ??£¨ìý?ï¸ò­ò¸??1á³?îñ£© 2?5êÅ?9êÅ?10êÅ 9:00?18:00  6?8êÅ 9:00?18:30  11?1êÅ 9:00?17:30   ý¨ê½???Û¯?? ¡ØâÍ????ú°??ìéÔÒ??/ìý?ï¸ò­ò¸??2á³?îñ 3?5êÅ?9êÅ?10êÅ 10:00?18:00  6?8êÅ 10:00?18:30  11?2êÅ 10:00?17:30","","Øßñ²ìé","135?? ?ÖØ3Ê¶ó×6?õóÏ¢õó?ý¨ÜÆú¼10ÝÂ?   ","??óãÓì??õðêýäÌ?ó×÷¼ðóå¨??Û¯á¦Í£Ùþûù??ÎÃ??","?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"304","zh-TW","óãÓìÏà","110-360 âÏì³ã¼ñ£ÖØÏ¡èÂ×£Ô×2-71 ","03072 âÏì³ã¼ñ£ÖØÏ¡×ÊÍÛÖØ99 ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr","2~5êÅ¡¢9~10êÅ 09:00~18:00  6~8êÅ 09:00~18:30 11~1êÅ 09:00~17:30 ¡Ø ?øùò¸óÑÎºÌ¿áÖîñ1á³ãÁò­","","ØßñÎìé","3ûÜàÊäÌÏÐó×3ûÜõóÏ¢ÜÆú¼5ÝÂñ¤    5ûÜàÊñ£ÖØ3Ê¶ó×6ûÜõóÏ¢ÜÆú¼10ÝÂñ¤","óãÓìÏàäÌÏÐó×ÎÃûùÚ¦á¦Í£Ùþûùë¶?ý­ê½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ?á¶"
"301","zh-TW","óãÌÔÏà","110-360 âÏì³ã¼ñ£ÖØÏ¡èÂ×£Ô× 2-1","03072 âÏì³ã¼ñ£ÖØÏ¡óãÌÔÏàÖØ185 ","+82-2-762-4868","+82-2-762-9514","https://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","09:00~21:00 (?øùò¸20:00)","ñÎì£?ñÎìí","ØßñÎìé","4ûÜàÊû³ûùó×4ûÜõóÏ¢","Í¯Ïàù¦ï×îî÷ÖóãÌÔÏàÎÃûùÚ¦äÌÏÐó×ÏàÏô","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ?á¶"
"37223","zh-TW","óãÌÔÏàÓÞè®ãø"," âÏì³ñ¤ÖØÏ¡ûú×£Ô×2-1 ","03072 âÏì³ñ¤ÖØÏ¡óãÌÔÏàÖØ185£¨è¿×£Ô×£¬óãÌÔÏà£© ","+82-2-762-9514","","http://cgg.cha.go.kr/agapp/main/index.do?siteCd=CGG","","","","û³ûùó×4ûÜõóÏ¢700Ú·","âÏì³?ÔðìéËÛîÜò¢Û°óãÌÔÏàóãÌÔÏàå³üåóãÌÔÏàÚÐðÎÏ¡óãÌÔÏàÓÞè®ãø","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)"
"4039","zh-CN","Ù¥Ô×ô¸ñ«?ÓÑ","100-022 âÏ?ã¼ñé?Ù¥Ô×2Ê¶1-1 ","100-022 âÏ?ã¼ñé?Ù¥Ô×Ê¶74 ","+82-2-774-1784","","http://www.mdsd.or.kr","","","Øßñ²ìé","4?? Ù¥Ô× 5 8?õóÏ¢õóÕÎ£¬ÜÆú¼10ÝÂñ¤ 2?? ëàò¨ÖØìýÏ¢ 9?õóÏ¢õó?ý¨ÜÆú¼10ÝÂ? 2?? ëàò¨ÖØ3Ê¶ 12?õóÏ¢õó?ý¨ÜÆú¼10ÝÂ?","Ù¥Ô×ô¸ñ«?ÓÑ£¨¸íµ¿¼º´ç£©ô¸ñ«?ðó??ò¢","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑá©â¢??ð¬"
"11470","zh-CN","Ù¥Ô×ÕéêýãáãÓñéãý"," âÏ?ã¼ñé?ëàò¨ÖØ2Ê¶ 181?èâ??ú¼??"," âÏ?ã¼ñé?ëàò¨ÖØ66 ","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","Ù¥Ô×ÕéêýãáãÓñéãý / ?Ò·ù¡??? - 09:00~18:00","","ñ²ìí¡¢õð?ÐàñéõÕ??ô¸","2?? ëàò¨ÖØìýÏ¢ 5 6?õóÏ¢","ÒýêªÙþûùÍö?Ù¥Ô×âÏ?Ù¥Ô×ÕéêýãáãÓñéãýâÏ?Õéêý??ñéãýÕéêý??ñéãýÙþûù","Ùéî¡äô÷çÔ³"
"11471","zh-TW","Ù¥Ô×Õéë´íÀãòñéãý"," âÏì³ã¼ñéÏ¡ëàò¨ÖØ2Ê¶ 181èâüµëÞú¼Ü¬Î½","04538 âÏì³ã¼ñéÏ¡ëàò¨ÖØ66 ","+82-2-778-0333","","http://www.facebook.com/MyeongdongTouristInformationCenter","Ù¥Ô×Õéë´íÀãòñéãý / ÑºÒ·ù¡÷ü?Ï¡ - 09:00~18:00","","ñÎìí¡¢õðï½ÐàñéõÕï½Ó×ô¸","2ûÜàÊëàò¨ÖØìýÏ¢ó×5¡¢6ûÜõóÏ¢","Ù¥Ô×Õéë´íÀãòñéãýÕéë´íÀãòñéãýâÏì³Õéë´íÀãòñéãýÕéë´í¿âóñéãýÙ¥Ô×âÏì³","Ùíî¡œÉ÷çÔ³"
"4040","zh-TW","Ù¥Ô×á¡ÓÑ (Ù¥Ô×ô¸ñ«?ÓÑ)","100-022 âÏì³ã¼ñéÏ¡Ù¥Ô×2Ê¶1-1 ","100-022 âÏì³ã¼ñéÏ¡Ù¥Ô×Ê¶74 ","+82-2-774-1784","","http://www.mdsd.or.kr","","","","4ûÜàÊÙ¥Ô×ó×5 8ûÜõóÏ¢ÜÆú¼10ÝÂñ¤ 2ûÜàÊëàò¨ÖØìýÏ¢ó×5ûÜõóÏ¢ÜÆú¼15~20ÝÂñ¤ 2ûÜàÊëàò¨ÖØ3Ê¶ó×12ûÜõóÏ¢ÜÆú¼10ÝÂñ¤","Ê¨ÓìãÒËïõéÙ¥Ô×á¡ÓÑÙ¥Ô×ÕöÞÈÙ¥Ô×ô¸ñ«?ÓÑÙ¥Ô×á¡ÓÑô¸ñ«?","Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"77","zh-CN","ÌØÜØ?","110-820 âÏ?ã¼?ÖØ?á¦ðóÖØ 1-1 ","03045 âÏ?ã¼?ÖØ?ß²?ÖØ37 ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","1~2êÅ 09:00 ~ 17:00 (16ïÃì¤ý¨Ð×ò­ìý?) 3~5êÅ 09:00 ~ 18:00 (17ïÃì¤ý¨Ð×ò­ìý?) 6~8êÅ 09:00 ~ 18:30 (17ïÃ30ÝÂì¤ý¨Ð×ò­ìý?) 9~10êÅ 09:00 ~ 18:00 (17ïÃì¤ý¨Ð×ò­ìý?) 11~12êÅ 09:00 ~ 17:00 (16ïÃì¤ý¨Ð×ò­ìý?) ¡Ø?øùò¸???áÖîñ1á³?ò­","","Øßñ²ñ²ì£","5?? ÎÃûù?ó×2?õóÏ¢õó?ý¨ÜÆú¼10ÝÂ? 3?? ÌØÜØ?ó×5?õóÏ¢õó?ý¨ÜÆú¼5ÝÂ? ","?îüÌØÜØ?ó×å¨??Û¯ÎÃ??Í¯?ðÈ?ÌØÜØ????Ø¡ÚÅáÔÚÏÚª?","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢?"
"79","zh-TW","ÌØÜØÏà","110-820 âÏì³ã¼ñ£ÖØÏ¡á¦ðóÖØ 1-1 ","03045 âÏì³ã¼ñ£ÖØÏ¡ß²?ÖØ37 ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","1~2êÅ09:00 ~ 17:00£¨16ïÇì¤ý­Ð×ò­ìýíÞ£© 3~5êÅ09:00 ~ 18:00£¨17ïÇì¤ý­Ð×ò­ìýíÞ£© 6~8êÅ09:00 ~ 18:30£¨17ïÇ30ÝÂì¤ý­Ð×ò­ìýíÞ£© 9~10êÅ09:00 ~ 18:00£¨17ïÇì¤ý­Ð×ò­ìýíÞ£© 11~12êÅ09:00 ~ 17:00£¨16ïÇì¤ý­Ð×ò­ìýíÞ£© ¡Ø ?øùò¸óÑÎºÌ¿áÖîñ1á³ãÁò­","","ØßñÎì£","5ûÜàÊÎÃûùÚ¦ó×2ûÜõóÏ¢ÜÆú¼10ÝÂñ¤ 3ûÜàÊÌØÜØÏàó×5ûÜõóÏ¢ÜÆú¼5ÝÂñ¤","ÌØÜØÏàó×îî÷ÖÎÃûùÚ¦Í¯Ïàù¦ï×ÌØÜØÏàÏàÏôÏÐØ¡ÚÅáÔÚÏÚªÎ½","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"2589","zh-TW","ðÇÍ¢ÞÑ ","110-170 âÏì³ñ£ÖØÏ¡Ì±ò¤Ô× 45","110-170 âÏì³ã¼ñ£ÖØÏ¡éèïÙÏÑÖØ55 ","+82-2-768-8600","+82-2-720-2299","http://www.jogyesa.kr","âËîÊÛöüå¡¢óÑÝÖÔõÞÑÙÙüÀÔÑüåêóá¶Ü¨ÔÑ","","","3ûÜàÊäÌÏÐó×6ûÜõóÏ¢õóÜÆú¼10ÝÂñ£ 5ûÜàÊÎÃûùÚ¦ó×2ûÜõóÏ¢õóÜÆú¼15ÝÂñ¤ 1ûÜàÊñ¤ÊÈó×2ûÜõóÏ¢õóÜÆú¼10ÝÂñ¤"," ðó?á¡ò¢ÞÑêÂÐöâÖâÏì³ðÇÍ¢ÞÑðÇÍ¢ÞÑäÌÏÐó× ÝÖ?","Ùíî¡œÉ÷çÔ³"
"2588","zh-CN","ðÇÍ¢ÞÑ(Á¶°è»ç)","110-170 âÏ??ÖØ??ò¤Ô× 45","110-170 âÏ?ã¼?ÖØ??ïÙÏÑÖØ55 ","+82-2-768-8600","+82-2-720-2299","http://www.jogyesa.kr","áôÛö?¡¢?Í±¡¢?ÝÖÔõÞÑêÂüÀ?ìíïïäÌÛÉîÜç¯?£¬?Û¯??Ê¦Òö?êó??¡£","","","3?? äÌ? 6?õóÏ¢õó?ý¨£¬ÜÆú¼10ÝÂ?  5?? ÎÃûù? 2?õóÏ¢õó?ý¨£¬ÜÆú¼15ÝÂ?  1?? ?? 2?õóÏ¢õó?ý¨£¬ÜÆú¼10ÝÂ?  ","ÝÖ?âÏ?ðÇÍ¢ÞÑðó??ò¢?ÖØ?ðÇÍ¢ÞÑðÇÍ¢ÞÑ(Á¶°è»ç)âÏ?Õéêý","Ùéî¡äô÷çÔ³"
"1182","zh-CN","?ü£òÐèâ???ÞÍÙ×?","121-883 âÏ?ã¼Ø«øÝ??ü£òÐÊ¶46 ","04084 âÏ?ã¼Ø«øÝ??ü£òÐÊ¶46 ","+82-2-332-9174","","http://www.yanghwajin.net/v2/index.html","¡Ø????£º10:00¡¢11:30¡¢14:00¡¢15:30 ¡ØêªÓ©¡¢õð??ñéõÕ?Ê£¡¢???Üôð«Íê??Ü×?","àøÑ¢ìé ~ àøÑ¢×¿","¡ØêªÓ©¡¢õð??ñéõÕ?Ê£¡¢???Üôð«Íê??Ü×?","26?? ùêïÌó×?7?õóÏ¢õó?ý¨£¬ÜÆú¼200Ú·   ","?û³êÂùêïÌÔ×?Ò·?ï·?ß£âæ??Ò·?ùêïÌó×?ü£òÐèâ?ìÑ??ÞÍÙ×?Ù×?ûðÓÞ","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑá©â¢?"
"1171","zh-TW","åÅü£òÐèâÏÐìÑîî?ÞÍÙ×ê®","121-883 âÏì³ã¼Ø«øÝÏ¡åÅü£òÐÊ¶46 ","04084 âÏì³ã¼Ø«øÝÏ¡åÅü£òÐÊ¶46 ","+82-2-332-9174","","http://www.yanghwajin.net/v2/index.html","10:00~17:00 ","ñÎìé~ñÎ×¿ ¡ØÓôÕÂãÁÊà£º10:00¡¢11:30¡¢14:00¡¢15:30 ¡ØêªÓ©¡¢õðï½æ¨ñéõÕÖ§Ê£¡¢á¡÷«ï½Üôð«ÍêÓôÕÂÜ×Ùâ","ñÎìí","2¡¢6ûÜàÊùêïÌó×7ûÜõóÏ¢ÜÆú¼ 200Íëô© ","ðó?á¡ò¢ûðÓÞÑºÒ·Î½ùêïÌó×åÅü£òÐèâÏÐìÑîî?ÞÍÙ×ê®ÕöÞÈ","Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶"
"21363","zh-TW","äÅô¸á¦Í£÷²","138-240 âÏì³ã¼áæ÷çÏ¡ãæô¹Ô×29 ","05551 âÏì³ã¼áæ÷çÏ¡çó×ùù¯ÐºÖØ300(ãæô¹Ô×) ","+82-2-3213-5000","","http://www.lwt.co.kr/tower/main/main.do#sec01","ÊÀàâã¿ÜôÔÒ£¬ßÙï×ôëóÑÍÅØÑó×","","îïÒ´ÙíýÌ","ò¢ôÑ2¡¢8ûÜàÊíÙãøó×2¡¢8ûÜõóÏ¢","ÏÅÚªñéãýíÙãøó×î÷ØÐ÷»SEOULSKY123×§äÅô¸á¦Í£ÏÅÚªñéãýÙíùÚÓûîúò¢øöâ©ðéÎ½äÅô¸á¦Í£÷²","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"23498","zh-TW","äÅô¸á¦Í£ÚÅáÔÚÏÚªÎ½","138-721 âÏì³ã¼áæ÷çÏ¡íÙãøÔ×40-1 ","05554 âÏì³ã¼áæ÷çÏ¡çó×ùù¯ÐºÖØ240(äÅô¸á¦Í£) "," 1661-2000","","http://www.lotteworld.com/museum/","øÁìí AM 09:30 ~ PM 08:00 ñÎØÇ AM 09:30 ~ PM 09:00 (øÍÎ½îñ1á³ãÁïÎò­ìýíÞ)","ñÎìé~ñÎìí","îïÒ´ÙíýÌ","2¡¢8ûÜíÙãøó×4ûÜõóÏ¢","ÕöÞÈäÅô¸á¦Í£ÏàïÕÜ×ãÞÚÅáÔÚÏÚªÎ½äÅô¸á¦Í£ÚÅáÔÚÏÚªÎ½îî÷ÖÍïçÝù¡íÙãøó×î÷ÕÂîî÷Ö","íÑòðìÑÞÍÜ×Ùâ÷»(ðÕó¨×ÇëõÔõ)Ùíî¡œÉïÎó³íÞÙíî¡œÉ÷çÔ³Ùíî¡œÉ?á¶ï³ð¬"
"11613","zh-CN","?àòÛÝ?ÚÏÚª?","138-050 âÏ?ã¼áæ÷ç?Û»ì¿Ô× 88-20","138-050 âÏ?ã¼áæ÷ç?êÐ?àòÓÞÖØ71 ","+82-2-2152-5900?7","+82-2-2152-5908","","","","1êÅ1ìí¡¢Øßñ²ìé","8?? ?õ½÷Ïàòó×1?õóÏ¢¡æðÈéÓ?(Ñõ2?)Û°ú¾ì¹?650Ú· 5??£¨?ô¹Û°ú¾£© ?×ùù¯ÐºÍë?ó×3?õóÏ¢¡æÑõ2?Û°ú¾ì¹?1ô¶Ú·ñ§éÓ  ","?àòÛÝ?ÚÏÚª?ßÈ?î÷?î÷??ò£ÚÏÚª?Ùþûùî÷ãÆÍö??ÞÈ","Ùéî¡äô÷çÔ³?òðìÑ?éÄïÎ???òðìÑò¦Ñõ(?ëõðÕó¨ÐàÐìöâ)?òðìÑá©â¢??ð¬"
